run_id,regime,seed,arm,evidence_strength,condition_id,family,delta,noise,order,baseline_steps,attractor_belief,stable_window,local_probe_count,local_probes_passed,D_pre,D_immediate_first,D_immediate_last,D_final,D_post,delta_D,C_pre,C_post,C_post_defined_steps,normal_accepted,normal_rejected,acceptance_rate,rejection_rate,external_delivery_count,bypass_delivery_count,external_update_accepted_count,external_rejected_count,actual_revision_count,qualifying_revision_count,genuine_revision_count,apparent_correction_count,relapse_observed,relapse_rate_if_eligible,relapse_start_step,relapse_confirmation_step,time_to_relapse,time_to_relapse_from_last_injection,persistent_escape,persistent_escape_rate,normal_post_steps,steps_after_last_injection,classification,reference_corruption,reference_avoidance,path_length,L_actual,L_min_real,L_min_binary64,accepted_step_count,rejected_step_count,accepted_moves,first_rejection_step,first_rejection_gap,disconnected_gap_size,max_rejection_excess,TV,TV_input_only,actual_state_TV,requested_max_gap,first_requested_gap_step,requested_disconnected_edges,all_requested_edges_admissible,first_target_step,target_reached,target_reached_final,final_belief,bridge_completion,unordered_graph_path_exists,unordered_shortest_path_length,target_in_offered_values,sequence_sha256,multiset_sha256,empty_hold_steps
control_no_input_seed7,stationary,7,admissible_bridge,1.0,control_no_input,control,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,0,,,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,0,0,20,21,0,0,0,,,,,0,0,0,,,0,True,,False,False,1.0,False,False,,False,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,120
control_abrupt0_seed7,stationary,7,admissible_bridge,1.0,control_abrupt0,control,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,120,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,120,20,21,0,120,0,1,1.0,1.0,0.95,1.0,0.0,0.0,1.0,1,1,False,,False,False,1.0,False,False,,True,0f11a5a7df991d1addcfc7927eff30d2a5e80cda589afd9a69040156940f1048,0f11a5a7df991d1addcfc7927eff30d2a5e80cda589afd9a69040156940f1048,0
control_E_gradual_seed7,stationary,7,admissible_bridge,1.0,control_E_gradual,control,,,descending,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,20,120,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,38,42,38,38,False,0,120,120,E_relapse,not_available,not_available,120,120,20,21,120,0,40,,,,,1.0,0.975,1.0,0.025000000000000133,,0,True,40,True,True,0.0,True,True,30,True,b8cd55b4a01a2b5feab05f79a7b416c5240e628ef72c8c3ce7c3bc4931f500b8,a86560a0e67b61e43dfb20c7007178cfd83d65ab7067568b9a9851b193b43d20,0
control_E_fast_seed7,stationary,7,admissible_bridge,1.0,control_E_fast,control,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,120,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,120,20,21,0,120,0,1,1.0,1.0,0.95,1.0,0.0,0.0,1.0,1,1,False,,False,False,1.0,False,False,,True,0f11a5a7df991d1addcfc7927eff30d2a5e80cda589afd9a69040156940f1048,0f11a5a7df991d1addcfc7927eff30d2a5e80cda589afd9a69040156940f1048,0
minimum_float_frontier_seed7,stationary,7,admissible_bridge,1.0,minimum_float_frontier,minimum,,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,21,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,19,23,19,19,False,0,120,120,E_relapse,not_available,not_available,21,21,20,21,21,0,21,,,,,1.0,0.9500000000000001,1.0,0.05,,0,True,21,True,True,0.0,True,True,21,True,aac1f193689b8165c17f69f1945ed24e761efdfbbdc55adffd61b67b9954c9a3,28d0bc857993b21e605fd8fbac7a826b0916b9ad0939583c634894159d7689fa,99
minimum_uniform19_seed7,stationary,7,admissible_bridge,1.0,minimum_uniform19,minimum,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,19,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,19,19,20,21,0,19,0,1,0.05263157894736836,1.0,0.95,1.0,0.9473684210526316,0.0,0.052631578947368474,1,19,False,,False,False,1.0,False,False,,True,1dcff44116c3356f038454ae23f3bd403e638d421d7d1ed5563d0eb4a96cdcb3,822b74ea3bb99566f682e90e74ad5203316e3661d60460440524198aca6f568a,101
minimum_uniform20_seed7,stationary,7,admissible_bridge,1.0,minimum_uniform20,minimum,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,20,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,20,20,20,21,0,20,0,1,0.050000000000000044,1.0,0.95,1.0,0.95,0.0,0.050000000000000044,1,12,False,,False,False,1.0,False,False,,True,afd9600ca26821e23857938957dbedafd8b76b73424dc9b852c9dcf287c85e77,49c43aef50324c9cd2b0ccc408b631157a0cf2769edecc453dfa97ffc5d50d47,100
minimum_uniform21_seed7,stationary,7,admissible_bridge,1.0,minimum_uniform21,minimum,,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,21,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,20,24,20,20,False,0,120,120,E_relapse,not_available,not_available,21,21,20,21,21,0,21,,,,,1.0,0.9523809523809523,1.0,0.04761904761904767,,0,True,21,True,True,0.0,True,True,21,True,d48df378af6ddadd96fc31279808adb58485f49b1fa42502746da938a166d7ef,a0fa61d6bba8e129df2f5837725215e70818d3b88ceb17f95257a321326dc308,99
delta_0.025_seed7,stationary,7,admissible_bridge,1.0,delta_0.025,step_size,0.025,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,40,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,38,42,38,38,False,0,120,120,E_relapse,not_available,not_available,40,40,20,21,40,0,40,,,,,1.0,0.975,1.0,0.025000000000000133,,0,True,40,True,True,0.0,True,True,30,True,4b13f810dd7bbcbe31b0cf2910b91158ab475b82c66bf2f53384f1e02953da98,87857add60f626c74def5582aa5d0281ab521392ceb158a1609640577513713d,80
delta_0.049_seed7,stationary,7,admissible_bridge,1.0,delta_0.049,step_size,0.049,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,21,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,20,24,20,20,False,0,120,120,E_relapse,not_available,not_available,21,21,20,21,21,0,21,,,,,1.0,0.951,1.0,0.049000000000000044,,0,True,21,True,True,0.0,True,True,21,True,4f7377a26449caedc62c43067d1eff5b6d62d15df18c90d9e820d632c660ba57,837778ee723528209ef943fdc704f161daf58eaf19eb607f5177ff761013dd86,99
delta_0.0499_seed7,stationary,7,admissible_bridge,1.0,delta_0.0499,step_size,0.0499,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,21,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,20,24,20,20,False,0,120,120,E_relapse,not_available,not_available,21,21,20,21,21,0,21,,,,,1.0,0.9501,1.0,0.049900000000000055,,0,True,21,True,True,0.0,True,True,21,True,8b7be00c8699dfb7cb761334d89726fcb49f9b11ffcf7e6026d8918675fcc92b,eef2ae9872598f9407e8cced30f27e881fe0623994bf5824dd733d8f033de88a,99
delta_0.05_seed7,stationary,7,admissible_bridge,1.0,delta_0.05,step_size,0.05,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,20,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,20,20,20,21,0,20,0,1,0.050000000000000044,1.0,0.95,1.0,0.95,0.0,0.050000000000000044,1,12,False,,False,False,1.0,False,False,,True,11fd1ae40298f9166f09d1de4e233c897a980aec55b0e5936472c6b4b71c1e73,8ae102238cf6ff42c1ff27c5ab7003b3917ea314955d959caf9fd0ffdf4ded92,100
delta_0.0501_seed7,stationary,7,admissible_bridge,1.0,delta_0.0501,step_size,0.0501,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,20,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,20,20,20,21,0,20,0,1,0.05010000000000003,1.0,0.95,1.0,0.9499,0.0,0.05010000000000003,1,19,False,,False,False,1.0,False,False,,True,dbbb12d132a7651f65b04c1111e55275d336d07aafb958e70bec7d3986e55842,11504f0846779ade59851b8d8044270c8e715ee57e86faba8a3b62489aad8b3d,100
delta_0.051_seed7,stationary,7,admissible_bridge,1.0,delta_0.051,step_size,0.051,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,20,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,20,20,20,21,0,20,0,1,0.051000000000000045,1.0,0.95,1.0,0.949,0.0,0.051000000000000045,1,19,False,,False,False,1.0,False,False,,True,24b34eb946f965a6014f4b8bb30e3da674d1e14fb1bb37f9e0eae4cd11b729b4,427b7b660b2d27e29ac384701b33de05c3405b6262cf88fbfb792778060b0abe,100
