step,belief_before,belief_after,before_hex,after_hex,exact_gap,rounded_gap,lower_neighbor,lower_neighbor_gap
1,1.0,0.9500000000000001,0x1.0000000000000p+0,0x1.e666666666667p-1,450359962737049/9007199254740992,0.04999999999999993,0.95,0.050000000000000044
2,0.9500000000000001,0.9000000000000001,0x1.e666666666667p-1,0x1.ccccccccccccep-1,450359962737049/9007199254740992,0.04999999999999993,0.9,0.050000000000000044
3,0.9000000000000001,0.8500000000000002,0x1.ccccccccccccep-1,0x1.b333333333335p-1,450359962737049/9007199254740992,0.04999999999999993,0.8500000000000001,0.050000000000000044
4,0.8500000000000002,0.8000000000000003,0x1.b333333333335p-1,0x1.999999999999cp-1,450359962737049/9007199254740992,0.04999999999999993,0.8000000000000002,0.050000000000000044
5,0.8000000000000003,0.7500000000000003,0x1.999999999999cp-1,0x1.8000000000003p-1,450359962737049/9007199254740992,0.04999999999999993,0.7500000000000002,0.050000000000000044
6,0.7500000000000003,0.7000000000000004,0x1.8000000000003p-1,0x1.666666666666ap-1,450359962737049/9007199254740992,0.04999999999999993,0.7000000000000003,0.050000000000000044
7,0.7000000000000004,0.6500000000000005,0x1.666666666666ap-1,0x1.4ccccccccccd1p-1,450359962737049/9007199254740992,0.04999999999999993,0.6500000000000004,0.050000000000000044
8,0.6500000000000005,0.6000000000000005,0x1.4ccccccccccd1p-1,0x1.3333333333338p-1,450359962737049/9007199254740992,0.04999999999999993,0.6000000000000004,0.050000000000000044
9,0.6000000000000005,0.5500000000000006,0x1.3333333333338p-1,0x1.199999999999fp-1,450359962737049/9007199254740992,0.04999999999999993,0.5500000000000005,0.050000000000000044
10,0.5500000000000006,0.5000000000000007,0x1.199999999999fp-1,0x1.0000000000006p-1,450359962737049/9007199254740992,0.04999999999999993,0.5000000000000006,0.050000000000000044
11,0.5000000000000007,0.4500000000000007,0x1.0000000000006p-1,0x1.cccccccccccd9p-2,900719925474099/18014398509481984,0.04999999999999999,0.4500000000000006,0.050000000000000044
12,0.4500000000000007,0.4000000000000007,0x1.cccccccccccd9p-2,0x1.99999999999a6p-2,900719925474099/18014398509481984,0.04999999999999999,0.40000000000000063,0.050000000000000044
13,0.4000000000000007,0.3500000000000007,0x1.99999999999a6p-2,0x1.6666666666673p-2,900719925474099/18014398509481984,0.04999999999999999,0.35000000000000064,0.050000000000000044
14,0.3500000000000007,0.3000000000000007,0x1.6666666666673p-2,0x1.3333333333340p-2,900719925474099/18014398509481984,0.04999999999999999,0.30000000000000066,0.050000000000000044
15,0.3000000000000007,0.2500000000000007,0x1.3333333333340p-2,0x1.000000000000dp-2,900719925474099/18014398509481984,0.04999999999999999,0.25000000000000067,0.050000000000000044
16,0.2500000000000007,0.20000000000000073,0x1.000000000000dp-2,0x1.99999999999b4p-3,900719925474099/18014398509481984,0.04999999999999999,0.2000000000000007,0.05000000000000002
17,0.20000000000000073,0.15000000000000074,0x1.99999999999b4p-3,0x1.333333333334ep-3,900719925474099/18014398509481984,0.04999999999999999,0.15000000000000072,0.05000000000000002
18,0.15000000000000074,0.10000000000000074,0x1.333333333334ep-3,0x1.99999999999cfp-4,3602879701896397/72057594037927936,0.05,0.10000000000000073,0.05000000000000002
19,0.10000000000000074,0.05000000000000074,0x1.99999999999cfp-4,0x1.9999999999a04p-5,3602879701896397/72057594037927936,0.05,0.05000000000000073,0.05000000000000001
20,0.05000000000000074,7.320533068622126e-16,0x1.9999999999a04p-5,0x1.a600000000000p-51,14411518807585589/288230376151711744,0.05,7.320533068622125e-16,0.05000000000000001
21,7.320533068622126e-16,0.0,0x1.a600000000000p-51,0x0.0p+0,211/288230376151711744,7.320533068622126e-16,,
