graph_id,source,target,source_value,target_value,rounded_gap,tol
uniform_n20_tol0.05,0,1,0.0,0.05,0.05,0.05
uniform_n20_tol0.05,1,2,0.05,0.1,0.05,0.05
uniform_n20_tol0.05,2,3,0.1,0.15,0.04999999999999999,0.05
uniform_n20_tol0.05,4,5,0.2,0.25,0.04999999999999999,0.05
uniform_n20_tol0.05,5,6,0.25,0.3,0.04999999999999999,0.05
uniform_n20_tol0.05,6,7,0.3,0.35,0.04999999999999999,0.05
uniform_n20_tol0.05,8,9,0.4,0.45,0.04999999999999999,0.05
uniform_n20_tol0.05,9,10,0.45,0.5,0.04999999999999999,0.05
uniform_n20_tol0.05,11,12,0.55,0.6,0.04999999999999993,0.05
uniform_n20_tol0.05,13,14,0.65,0.7,0.04999999999999993,0.05
uniform_n20_tol0.05,16,17,0.8,0.85,0.04999999999999993,0.05
uniform_n20_tol0.05,18,19,0.9,0.95,0.04999999999999993,0.05
uniform_n20_tol0.051,0,1,0.0,0.05,0.05,0.051
uniform_n20_tol0.051,1,2,0.05,0.1,0.05,0.051
uniform_n20_tol0.051,2,3,0.1,0.15,0.04999999999999999,0.051
uniform_n20_tol0.051,3,4,0.15,0.2,0.05000000000000002,0.051
uniform_n20_tol0.051,4,5,0.2,0.25,0.04999999999999999,0.051
uniform_n20_tol0.051,5,6,0.25,0.3,0.04999999999999999,0.051
uniform_n20_tol0.051,6,7,0.3,0.35,0.04999999999999999,0.051
uniform_n20_tol0.051,7,8,0.35,0.4,0.050000000000000044,0.051
uniform_n20_tol0.051,8,9,0.4,0.45,0.04999999999999999,0.051
uniform_n20_tol0.051,9,10,0.45,0.5,0.04999999999999999,0.051
uniform_n20_tol0.051,10,11,0.5,0.55,0.050000000000000044,0.051
uniform_n20_tol0.051,11,12,0.55,0.6,0.04999999999999993,0.051
uniform_n20_tol0.051,12,13,0.6,0.65,0.050000000000000044,0.051
uniform_n20_tol0.051,13,14,0.65,0.7,0.04999999999999993,0.051
uniform_n20_tol0.051,14,15,0.7,0.75,0.050000000000000044,0.051
uniform_n20_tol0.051,15,16,0.75,0.8,0.050000000000000044,0.051
uniform_n20_tol0.051,16,17,0.8,0.85,0.04999999999999993,0.051
uniform_n20_tol0.051,17,18,0.85,0.9,0.050000000000000044,0.051
uniform_n20_tol0.051,18,19,0.9,0.95,0.04999999999999993,0.051
uniform_n20_tol0.051,19,20,0.95,1.0,0.050000000000000044,0.051
uniform_n40_tol0.049,0,1,0.0,0.025,0.025,0.049
uniform_n40_tol0.049,1,2,0.025,0.05,0.025,0.049
uniform_n40_tol0.049,2,3,0.05,0.075,0.024999999999999994,0.049
uniform_n40_tol0.049,3,4,0.075,0.1,0.02500000000000001,0.049
uniform_n40_tol0.049,4,5,0.1,0.125,0.024999999999999994,0.049
uniform_n40_tol0.049,5,6,0.125,0.15,0.024999999999999994,0.049
uniform_n40_tol0.049,6,7,0.15,0.175,0.024999999999999994,0.049
uniform_n40_tol0.049,7,8,0.175,0.2,0.025000000000000022,0.049
uniform_n40_tol0.049,8,9,0.2,0.225,0.024999999999999994,0.049
uniform_n40_tol0.049,9,10,0.225,0.25,0.024999999999999994,0.049
uniform_n40_tol0.049,10,11,0.25,0.275,0.025000000000000022,0.049
uniform_n40_tol0.049,11,12,0.275,0.3,0.024999999999999967,0.049
uniform_n40_tol0.049,12,13,0.3,0.325,0.025000000000000022,0.049
uniform_n40_tol0.049,13,14,0.325,0.35,0.024999999999999967,0.049
uniform_n40_tol0.049,14,15,0.35,0.375,0.025000000000000022,0.049
uniform_n40_tol0.049,15,16,0.375,0.4,0.025000000000000022,0.049
uniform_n40_tol0.049,16,17,0.4,0.425,0.024999999999999967,0.049
uniform_n40_tol0.049,17,18,0.425,0.45,0.025000000000000022,0.049
