graph_id,node_id,value,value_hex,component,distance_from1
uniform_n20_tol0.049,0,0.0,0x0.0p+0,0,
uniform_n20_tol0.049,1,0.05,0x1.999999999999ap-5,1,
uniform_n20_tol0.049,2,0.1,0x1.999999999999ap-4,2,
uniform_n20_tol0.049,3,0.15,0x1.3333333333333p-3,3,
uniform_n20_tol0.049,4,0.2,0x1.999999999999ap-3,4,
uniform_n20_tol0.049,5,0.25,0x1.0000000000000p-2,5,
uniform_n20_tol0.049,6,0.3,0x1.3333333333333p-2,6,
uniform_n20_tol0.049,7,0.35,0x1.6666666666666p-2,7,
uniform_n20_tol0.049,8,0.4,0x1.999999999999ap-2,8,
uniform_n20_tol0.049,9,0.45,0x1.ccccccccccccdp-2,9,
uniform_n20_tol0.049,10,0.5,0x1.0000000000000p-1,10,
uniform_n20_tol0.049,11,0.55,0x1.199999999999ap-1,11,
uniform_n20_tol0.049,12,0.6,0x1.3333333333333p-1,12,
uniform_n20_tol0.049,13,0.65,0x1.4cccccccccccdp-1,13,
uniform_n20_tol0.049,14,0.7,0x1.6666666666666p-1,14,
uniform_n20_tol0.049,15,0.75,0x1.8000000000000p-1,15,
uniform_n20_tol0.049,16,0.8,0x1.999999999999ap-1,16,
uniform_n20_tol0.049,17,0.85,0x1.b333333333333p-1,17,
uniform_n20_tol0.049,18,0.9,0x1.ccccccccccccdp-1,18,
uniform_n20_tol0.049,19,0.95,0x1.e666666666666p-1,19,
uniform_n20_tol0.049,20,1.0,0x1.0000000000000p+0,20,0
uniform_n20_tol0.05,0,0.0,0x0.0p+0,0,
uniform_n20_tol0.05,1,0.05,0x1.999999999999ap-5,0,
uniform_n20_tol0.05,2,0.1,0x1.999999999999ap-4,0,
uniform_n20_tol0.05,3,0.15,0x1.3333333333333p-3,0,
uniform_n20_tol0.05,4,0.2,0x1.999999999999ap-3,1,
uniform_n20_tol0.05,5,0.25,0x1.0000000000000p-2,1,
uniform_n20_tol0.05,6,0.3,0x1.3333333333333p-2,1,
uniform_n20_tol0.05,7,0.35,0x1.6666666666666p-2,1,
uniform_n20_tol0.05,8,0.4,0x1.999999999999ap-2,2,
uniform_n20_tol0.05,9,0.45,0x1.ccccccccccccdp-2,2,
uniform_n20_tol0.05,10,0.5,0x1.0000000000000p-1,2,
uniform_n20_tol0.05,11,0.55,0x1.199999999999ap-1,3,
uniform_n20_tol0.05,12,0.6,0x1.3333333333333p-1,3,
uniform_n20_tol0.05,13,0.65,0x1.4cccccccccccdp-1,4,
uniform_n20_tol0.05,14,0.7,0x1.6666666666666p-1,4,
uniform_n20_tol0.05,15,0.75,0x1.8000000000000p-1,5,
uniform_n20_tol0.05,16,0.8,0x1.999999999999ap-1,6,
uniform_n20_tol0.05,17,0.85,0x1.b333333333333p-1,6,
uniform_n20_tol0.05,18,0.9,0x1.ccccccccccccdp-1,7,
uniform_n20_tol0.05,19,0.95,0x1.e666666666666p-1,7,
uniform_n20_tol0.05,20,1.0,0x1.0000000000000p+0,8,0
uniform_n20_tol0.051,0,0.0,0x0.0p+0,0,20
uniform_n20_tol0.051,1,0.05,0x1.999999999999ap-5,0,19
uniform_n20_tol0.051,2,0.1,0x1.999999999999ap-4,0,18
uniform_n20_tol0.051,3,0.15,0x1.3333333333333p-3,0,17
uniform_n20_tol0.051,4,0.2,0x1.999999999999ap-3,0,16
uniform_n20_tol0.051,5,0.25,0x1.0000000000000p-2,0,15
uniform_n20_tol0.051,6,0.3,0x1.3333333333333p-2,0,14
uniform_n20_tol0.051,7,0.35,0x1.6666666666666p-2,0,13
uniform_n20_tol0.051,8,0.4,0x1.999999999999ap-2,0,12
uniform_n20_tol0.051,9,0.45,0x1.ccccccccccccdp-2,0,11
uniform_n20_tol0.051,10,0.5,0x1.0000000000000p-1,0,10
uniform_n20_tol0.051,11,0.55,0x1.199999999999ap-1,0,9
uniform_n20_tol0.051,12,0.6,0x1.3333333333333p-1,0,8
uniform_n20_tol0.051,13,0.65,0x1.4cccccccccccdp-1,0,7
uniform_n20_tol0.051,14,0.7,0x1.6666666666666p-1,0,6
uniform_n20_tol0.051,15,0.75,0x1.8000000000000p-1,0,5
uniform_n20_tol0.051,16,0.8,0x1.999999999999ap-1,0,4
uniform_n20_tol0.051,17,0.85,0x1.b333333333333p-1,0,3
uniform_n20_tol0.051,18,0.9,0x1.ccccccccccccdp-1,0,2
uniform_n20_tol0.051,19,0.95,0x1.e666666666666p-1,0,1
uniform_n20_tol0.051,20,1.0,0x1.0000000000000p+0,0,0
uniform_n40_tol0.049,0,0.0,0x0.0p+0,0,40
uniform_n40_tol0.049,1,0.025,0x1.999999999999ap-6,0,39
uniform_n40_tol0.049,2,0.05,0x1.999999999999ap-5,0,38
uniform_n40_tol0.049,3,0.075,0x1.3333333333333p-4,0,37
uniform_n40_tol0.049,4,0.1,0x1.999999999999ap-4,0,36
uniform_n40_tol0.049,5,0.125,0x1.0000000000000p-3,0,35
uniform_n40_tol0.049,6,0.15,0x1.3333333333333p-3,0,34
uniform_n40_tol0.049,7,0.175,0x1.6666666666666p-3,0,33
uniform_n40_tol0.049,8,0.2,0x1.999999999999ap-3,0,32
uniform_n40_tol0.049,9,0.225,0x1.ccccccccccccdp-3,0,31
uniform_n40_tol0.049,10,0.25,0x1.0000000000000p-2,0,30
uniform_n40_tol0.049,11,0.275,0x1.199999999999ap-2,0,29
uniform_n40_tol0.049,12,0.3,0x1.3333333333333p-2,0,28
uniform_n40_tol0.049,13,0.325,0x1.4cccccccccccdp-2,0,27
uniform_n40_tol0.049,14,0.35,0x1.6666666666666p-2,0,26
uniform_n40_tol0.049,15,0.375,0x1.8000000000000p-2,0,25
uniform_n40_tol0.049,16,0.4,0x1.999999999999ap-2,0,24
uniform_n40_tol0.049,17,0.425,0x1.b333333333333p-2,0,23
uniform_n40_tol0.049,18,0.45,0x1.ccccccccccccdp-2,0,22
uniform_n40_tol0.049,19,0.475,0x1.e666666666666p-2,0,21
uniform_n40_tol0.049,20,0.5,0x1.0000000000000p-1,0,20
uniform_n40_tol0.049,21,0.525,0x1.0cccccccccccdp-1,0,19
uniform_n40_tol0.049,22,0.55,0x1.199999999999ap-1,0,18
uniform_n40_tol0.049,23,0.575,0x1.2666666666666p-1,0,17
uniform_n40_tol0.049,24,0.6,0x1.3333333333333p-1,0,16
uniform_n40_tol0.049,25,0.625,0x1.4000000000000p-1,0,15
uniform_n40_tol0.049,26,0.65,0x1.4cccccccccccdp-1,0,14
uniform_n40_tol0.049,27,0.675,0x1.599999999999ap-1,0,13
uniform_n40_tol0.049,28,0.7,0x1.6666666666666p-1,0,12
uniform_n40_tol0.049,29,0.725,0x1.7333333333333p-1,0,11
uniform_n40_tol0.049,30,0.75,0x1.8000000000000p-1,0,10
uniform_n40_tol0.049,31,0.775,0x1.8cccccccccccdp-1,0,9
uniform_n40_tol0.049,32,0.8,0x1.999999999999ap-1,0,8
uniform_n40_tol0.049,33,0.825,0x1.a666666666666p-1,0,7
uniform_n40_tol0.049,34,0.85,0x1.b333333333333p-1,0,6
uniform_n40_tol0.049,35,0.875,0x1.c000000000000p-1,0,5
uniform_n40_tol0.049,36,0.9,0x1.ccccccccccccdp-1,0,4
uniform_n40_tol0.049,37,0.925,0x1.d99999999999ap-1,0,3
uniform_n40_tol0.049,38,0.95,0x1.e666666666666p-1,0,2
uniform_n40_tol0.049,39,0.975,0x1.f333333333333p-1,0,1
uniform_n40_tol0.049,40,1.0,0x1.0000000000000p+0,0,0
uniform_n40_tol0.05,0,0.0,0x0.0p+0,0,28
uniform_n40_tol0.05,1,0.025,0x1.999999999999ap-6,0,27
uniform_n40_tol0.05,2,0.05,0x1.999999999999ap-5,0,27
uniform_n40_tol0.05,3,0.075,0x1.3333333333333p-4,0,26
uniform_n40_tol0.05,4,0.1,0x1.999999999999ap-4,0,26
uniform_n40_tol0.05,5,0.125,0x1.0000000000000p-3,0,25
uniform_n40_tol0.05,6,0.15,0x1.3333333333333p-3,0,25
uniform_n40_tol0.05,7,0.175,0x1.6666666666666p-3,0,24
uniform_n40_tol0.05,8,0.2,0x1.999999999999ap-3,0,23
uniform_n40_tol0.05,9,0.225,0x1.ccccccccccccdp-3,0,23
uniform_n40_tol0.05,10,0.25,0x1.0000000000000p-2,0,22
uniform_n40_tol0.05,11,0.275,0x1.199999999999ap-2,0,21
uniform_n40_tol0.05,12,0.3,0x1.3333333333333p-2,0,21
uniform_n40_tol0.05,13,0.325,0x1.4cccccccccccdp-2,0,20
uniform_n40_tol0.05,14,0.35,0x1.6666666666666p-2,0,20
uniform_n40_tol0.05,15,0.375,0x1.8000000000000p-2,0,19
uniform_n40_tol0.05,16,0.4,0x1.999999999999ap-2,0,18
uniform_n40_tol0.05,17,0.425,0x1.b333333333333p-2,0,18
uniform_n40_tol0.05,18,0.45,0x1.ccccccccccccdp-2,0,17
uniform_n40_tol0.05,19,0.475,0x1.e666666666666p-2,0,17
uniform_n40_tol0.05,20,0.5,0x1.0000000000000p-1,0,16
uniform_n40_tol0.05,21,0.525,0x1.0cccccccccccdp-1,0,15
uniform_n40_tol0.05,22,0.55,0x1.199999999999ap-1,0,14
uniform_n40_tol0.05,23,0.575,0x1.2666666666666p-1,0,14
uniform_n40_tol0.05,24,0.6,0x1.3333333333333p-1,0,13
uniform_n40_tol0.05,25,0.625,0x1.4000000000000p-1,0,12
uniform_n40_tol0.05,26,0.65,0x1.4cccccccccccdp-1,0,11
uniform_n40_tol0.05,27,0.675,0x1.599999999999ap-1,0,10
uniform_n40_tol0.05,28,0.7,0x1.6666666666666p-1,0,10
uniform_n40_tol0.05,29,0.725,0x1.7333333333333p-1,0,9
uniform_n40_tol0.05,30,0.75,0x1.8000000000000p-1,0,8
uniform_n40_tol0.05,31,0.775,0x1.8cccccccccccdp-1,0,7
uniform_n40_tol0.05,32,0.8,0x1.999999999999ap-1,0,6
uniform_n40_tol0.05,33,0.825,0x1.a666666666666p-1,0,6
uniform_n40_tol0.05,34,0.85,0x1.b333333333333p-1,0,5
uniform_n40_tol0.05,35,0.875,0x1.c000000000000p-1,0,4
uniform_n40_tol0.05,36,0.9,0x1.ccccccccccccdp-1,0,3
uniform_n40_tol0.05,37,0.925,0x1.d99999999999ap-1,0,2
uniform_n40_tol0.05,38,0.95,0x1.e666666666666p-1,0,2
uniform_n40_tol0.05,39,0.975,0x1.f333333333333p-1,0,1
uniform_n40_tol0.05,40,1.0,0x1.0000000000000p+0,0,0
uniform_n40_tol0.051,0,0.0,0x0.0p+0,0,20
uniform_n40_tol0.051,1,0.025,0x1.999999999999ap-6,0,20
uniform_n40_tol0.051,2,0.05,0x1.999999999999ap-5,0,19
uniform_n40_tol0.051,3,0.075,0x1.3333333333333p-4,0,19
uniform_n40_tol0.051,4,0.1,0x1.999999999999ap-4,0,18
uniform_n40_tol0.051,5,0.125,0x1.0000000000000p-3,0,18
uniform_n40_tol0.051,6,0.15,0x1.3333333333333p-3,0,17
uniform_n40_tol0.051,7,0.175,0x1.6666666666666p-3,0,17
uniform_n40_tol0.051,8,0.2,0x1.999999999999ap-3,0,16
uniform_n40_tol0.051,9,0.225,0x1.ccccccccccccdp-3,0,16
uniform_n40_tol0.051,10,0.25,0x1.0000000000000p-2,0,15
uniform_n40_tol0.051,11,0.275,0x1.199999999999ap-2,0,15
uniform_n40_tol0.051,12,0.3,0x1.3333333333333p-2,0,14
uniform_n40_tol0.051,13,0.325,0x1.4cccccccccccdp-2,0,14
uniform_n40_tol0.051,14,0.35,0x1.6666666666666p-2,0,13
uniform_n40_tol0.051,15,0.375,0x1.8000000000000p-2,0,13
uniform_n40_tol0.051,16,0.4,0x1.999999999999ap-2,0,12
uniform_n40_tol0.051,17,0.425,0x1.b333333333333p-2,0,12
uniform_n40_tol0.051,18,0.45,0x1.ccccccccccccdp-2,0,11
uniform_n40_tol0.051,19,0.475,0x1.e666666666666p-2,0,11
uniform_n40_tol0.051,20,0.5,0x1.0000000000000p-1,0,10
uniform_n40_tol0.051,21,0.525,0x1.0cccccccccccdp-1,0,10
uniform_n40_tol0.051,22,0.55,0x1.199999999999ap-1,0,9
uniform_n40_tol0.051,23,0.575,0x1.2666666666666p-1,0,9
uniform_n40_tol0.051,24,0.6,0x1.3333333333333p-1,0,8
uniform_n40_tol0.051,25,0.625,0x1.4000000000000p-1,0,8
uniform_n40_tol0.051,26,0.65,0x1.4cccccccccccdp-1,0,7
uniform_n40_tol0.051,27,0.675,0x1.599999999999ap-1,0,7
uniform_n40_tol0.051,28,0.7,0x1.6666666666666p-1,0,6
uniform_n40_tol0.051,29,0.725,0x1.7333333333333p-1,0,6
uniform_n40_tol0.051,30,0.75,0x1.8000000000000p-1,0,5
uniform_n40_tol0.051,31,0.775,0x1.8cccccccccccdp-1,0,5
uniform_n40_tol0.051,32,0.8,0x1.999999999999ap-1,0,4
uniform_n40_tol0.051,33,0.825,0x1.a666666666666p-1,0,4
uniform_n40_tol0.051,34,0.85,0x1.b333333333333p-1,0,3
uniform_n40_tol0.051,35,0.875,0x1.c000000000000p-1,0,3
uniform_n40_tol0.051,36,0.9,0x1.ccccccccccccdp-1,0,2
uniform_n40_tol0.051,37,0.925,0x1.d99999999999ap-1,0,2
uniform_n40_tol0.051,38,0.95,0x1.e666666666666p-1,0,1
uniform_n40_tol0.051,39,0.975,0x1.f333333333333p-1,0,1
uniform_n40_tol0.051,40,1.0,0x1.0000000000000p+0,0,0
uniform_n80_tol0.049,0,0.0,0x0.0p+0,0,27
uniform_n80_tol0.049,1,0.0125,0x1.999999999999ap-7,0,27
uniform_n80_tol0.049,2,0.025,0x1.999999999999ap-6,0,26
uniform_n80_tol0.049,3,0.0375,0x1.3333333333333p-5,0,26
uniform_n80_tol0.049,4,0.05,0x1.999999999999ap-5,0,26
uniform_n80_tol0.049,5,0.0625,0x1.0000000000000p-4,0,25
uniform_n80_tol0.049,6,0.075,0x1.3333333333333p-4,0,25
uniform_n80_tol0.049,7,0.0875,0x1.6666666666666p-4,0,25
uniform_n80_tol0.049,8,0.1,0x1.999999999999ap-4,0,24
uniform_n80_tol0.049,9,0.1125,0x1.ccccccccccccdp-4,0,24
uniform_n80_tol0.049,10,0.125,0x1.0000000000000p-3,0,24
uniform_n80_tol0.049,11,0.1375,0x1.199999999999ap-3,0,23
uniform_n80_tol0.049,12,0.15,0x1.3333333333333p-3,0,23
uniform_n80_tol0.049,13,0.1625,0x1.4cccccccccccdp-3,0,23
uniform_n80_tol0.049,14,0.175,0x1.6666666666666p-3,0,22
uniform_n80_tol0.049,15,0.1875,0x1.8000000000000p-3,0,22
uniform_n80_tol0.049,16,0.2,0x1.999999999999ap-3,0,22
uniform_n80_tol0.049,17,0.2125,0x1.b333333333333p-3,0,21
uniform_n80_tol0.049,18,0.225,0x1.ccccccccccccdp-3,0,21
uniform_n80_tol0.049,19,0.2375,0x1.e666666666666p-3,0,21
uniform_n80_tol0.049,20,0.25,0x1.0000000000000p-2,0,20
uniform_n80_tol0.049,21,0.2625,0x1.0cccccccccccdp-2,0,20
uniform_n80_tol0.049,22,0.275,0x1.199999999999ap-2,0,20
uniform_n80_tol0.049,23,0.2875,0x1.2666666666666p-2,0,19
uniform_n80_tol0.049,24,0.3,0x1.3333333333333p-2,0,19
uniform_n80_tol0.049,25,0.3125,0x1.4000000000000p-2,0,19
uniform_n80_tol0.049,26,0.325,0x1.4cccccccccccdp-2,0,18
uniform_n80_tol0.049,27,0.3375,0x1.599999999999ap-2,0,18
uniform_n80_tol0.049,28,0.35,0x1.6666666666666p-2,0,18
uniform_n80_tol0.049,29,0.3625,0x1.7333333333333p-2,0,17
uniform_n80_tol0.049,30,0.375,0x1.8000000000000p-2,0,17
uniform_n80_tol0.049,31,0.3875,0x1.8cccccccccccdp-2,0,17
uniform_n80_tol0.049,32,0.4,0x1.999999999999ap-2,0,16
uniform_n80_tol0.049,33,0.4125,0x1.a666666666666p-2,0,16
uniform_n80_tol0.049,34,0.425,0x1.b333333333333p-2,0,16
uniform_n80_tol0.049,35,0.4375,0x1.c000000000000p-2,0,15
uniform_n80_tol0.049,36,0.45,0x1.ccccccccccccdp-2,0,15
uniform_n80_tol0.049,37,0.4625,0x1.d99999999999ap-2,0,15
uniform_n80_tol0.049,38,0.475,0x1.e666666666666p-2,0,14
uniform_n80_tol0.049,39,0.4875,0x1.f333333333333p-2,0,14
uniform_n80_tol0.049,40,0.5,0x1.0000000000000p-1,0,14
uniform_n80_tol0.049,41,0.5125,0x1.0666666666666p-1,0,13
uniform_n80_tol0.049,42,0.525,0x1.0cccccccccccdp-1,0,13
uniform_n80_tol0.049,43,0.5375,0x1.1333333333333p-1,0,13
uniform_n80_tol0.049,44,0.55,0x1.199999999999ap-1,0,12
uniform_n80_tol0.049,45,0.5625,0x1.2000000000000p-1,0,12
uniform_n80_tol0.049,46,0.575,0x1.2666666666666p-1,0,12
uniform_n80_tol0.049,47,0.5875,0x1.2cccccccccccdp-1,0,11
uniform_n80_tol0.049,48,0.6,0x1.3333333333333p-1,0,11
uniform_n80_tol0.049,49,0.6125,0x1.399999999999ap-1,0,11
uniform_n80_tol0.049,50,0.625,0x1.4000000000000p-1,0,10
uniform_n80_tol0.049,51,0.6375,0x1.4666666666666p-1,0,10
uniform_n80_tol0.049,52,0.65,0x1.4cccccccccccdp-1,0,10
uniform_n80_tol0.049,53,0.6625,0x1.5333333333333p-1,0,9
uniform_n80_tol0.049,54,0.675,0x1.599999999999ap-1,0,9
uniform_n80_tol0.049,55,0.6875,0x1.6000000000000p-1,0,9
uniform_n80_tol0.049,56,0.7,0x1.6666666666666p-1,0,8
uniform_n80_tol0.049,57,0.7125,0x1.6cccccccccccdp-1,0,8
uniform_n80_tol0.049,58,0.725,0x1.7333333333333p-1,0,8
uniform_n80_tol0.049,59,0.7375,0x1.799999999999ap-1,0,7
uniform_n80_tol0.049,60,0.75,0x1.8000000000000p-1,0,7
uniform_n80_tol0.049,61,0.7625,0x1.8666666666666p-1,0,7
uniform_n80_tol0.049,62,0.775,0x1.8cccccccccccdp-1,0,6
uniform_n80_tol0.049,63,0.7875,0x1.9333333333333p-1,0,6
uniform_n80_tol0.049,64,0.8,0x1.999999999999ap-1,0,6
uniform_n80_tol0.049,65,0.8125,0x1.a000000000000p-1,0,5
uniform_n80_tol0.049,66,0.825,0x1.a666666666666p-1,0,5
uniform_n80_tol0.049,67,0.8375,0x1.acccccccccccdp-1,0,5
uniform_n80_tol0.049,68,0.85,0x1.b333333333333p-1,0,4
uniform_n80_tol0.049,69,0.8625,0x1.b99999999999ap-1,0,4
uniform_n80_tol0.049,70,0.875,0x1.c000000000000p-1,0,4
uniform_n80_tol0.049,71,0.8875,0x1.c666666666666p-1,0,3
uniform_n80_tol0.049,72,0.9,0x1.ccccccccccccdp-1,0,3
uniform_n80_tol0.049,73,0.9125,0x1.d333333333333p-1,0,3
uniform_n80_tol0.049,74,0.925,0x1.d99999999999ap-1,0,2
uniform_n80_tol0.049,75,0.9375,0x1.e000000000000p-1,0,2
uniform_n80_tol0.049,76,0.95,0x1.e666666666666p-1,0,2
uniform_n80_tol0.049,77,0.9625,0x1.ecccccccccccdp-1,0,1
uniform_n80_tol0.049,78,0.975,0x1.f333333333333p-1,0,1
uniform_n80_tol0.049,79,0.9875,0x1.f99999999999ap-1,0,1
uniform_n80_tol0.049,80,1.0,0x1.0000000000000p+0,0,0
uniform_n80_tol0.05,0,0.0,0x0.0p+0,0,23
uniform_n80_tol0.05,1,0.0125,0x1.999999999999ap-7,0,23
uniform_n80_tol0.05,2,0.025,0x1.999999999999ap-6,0,23
uniform_n80_tol0.05,3,0.0375,0x1.3333333333333p-5,0,23
uniform_n80_tol0.05,4,0.05,0x1.999999999999ap-5,0,22
uniform_n80_tol0.05,5,0.0625,0x1.0000000000000p-4,0,22
uniform_n80_tol0.05,6,0.075,0x1.3333333333333p-4,0,22
uniform_n80_tol0.05,7,0.0875,0x1.6666666666666p-4,0,22
uniform_n80_tol0.05,8,0.1,0x1.999999999999ap-4,0,21
uniform_n80_tol0.05,9,0.1125,0x1.ccccccccccccdp-4,0,21
uniform_n80_tol0.05,10,0.125,0x1.0000000000000p-3,0,21
uniform_n80_tol0.05,11,0.1375,0x1.199999999999ap-3,0,20
uniform_n80_tol0.05,12,0.15,0x1.3333333333333p-3,0,20
uniform_n80_tol0.05,13,0.1625,0x1.4cccccccccccdp-3,0,20
uniform_n80_tol0.05,14,0.175,0x1.6666666666666p-3,0,20
uniform_n80_tol0.05,15,0.1875,0x1.8000000000000p-3,0,19
uniform_n80_tol0.05,16,0.2,0x1.999999999999ap-3,0,19
uniform_n80_tol0.05,17,0.2125,0x1.b333333333333p-3,0,19
uniform_n80_tol0.05,18,0.225,0x1.ccccccccccccdp-3,0,19
uniform_n80_tol0.05,19,0.2375,0x1.e666666666666p-3,0,18
uniform_n80_tol0.05,20,0.25,0x1.0000000000000p-2,0,18
uniform_n80_tol0.05,21,0.2625,0x1.0cccccccccccdp-2,0,18
uniform_n80_tol0.05,22,0.275,0x1.199999999999ap-2,0,17
uniform_n80_tol0.05,23,0.2875,0x1.2666666666666p-2,0,17
uniform_n80_tol0.05,24,0.3,0x1.3333333333333p-2,0,17
uniform_n80_tol0.05,25,0.3125,0x1.4000000000000p-2,0,17
