graph_id,tol,step,belief_before,input_value,accepted,belief_after
uniform_n20_tol0.051,0.051,1,1.0,0.95,True,0.95
uniform_n20_tol0.051,0.051,2,0.95,0.9,True,0.9
uniform_n20_tol0.051,0.051,3,0.9,0.85,True,0.85
uniform_n20_tol0.051,0.051,4,0.85,0.8,True,0.8
uniform_n20_tol0.051,0.051,5,0.8,0.75,True,0.75
uniform_n20_tol0.051,0.051,6,0.75,0.7,True,0.7
uniform_n20_tol0.051,0.051,7,0.7,0.65,True,0.65
uniform_n20_tol0.051,0.051,8,0.65,0.6,True,0.6
uniform_n20_tol0.051,0.051,9,0.6,0.55,True,0.55
uniform_n20_tol0.051,0.051,10,0.55,0.5,True,0.5
uniform_n20_tol0.051,0.051,11,0.5,0.45,True,0.45
uniform_n20_tol0.051,0.051,12,0.45,0.4,True,0.4
uniform_n20_tol0.051,0.051,13,0.4,0.35,True,0.35
uniform_n20_tol0.051,0.051,14,0.35,0.3,True,0.3
uniform_n20_tol0.051,0.051,15,0.3,0.25,True,0.25
uniform_n20_tol0.051,0.051,16,0.25,0.2,True,0.2
uniform_n20_tol0.051,0.051,17,0.2,0.15,True,0.15
uniform_n20_tol0.051,0.051,18,0.15,0.1,True,0.1
uniform_n20_tol0.051,0.051,19,0.1,0.05,True,0.05
uniform_n20_tol0.051,0.051,20,0.05,0.0,True,0.0
uniform_n40_tol0.049,0.049,1,1.0,0.975,True,0.975
uniform_n40_tol0.049,0.049,2,0.975,0.95,True,0.95
uniform_n40_tol0.049,0.049,3,0.95,0.925,True,0.925
uniform_n40_tol0.049,0.049,4,0.925,0.9,True,0.9
uniform_n40_tol0.049,0.049,5,0.9,0.875,True,0.875
uniform_n40_tol0.049,0.049,6,0.875,0.85,True,0.85
uniform_n40_tol0.049,0.049,7,0.85,0.825,True,0.825
uniform_n40_tol0.049,0.049,8,0.825,0.8,True,0.8
uniform_n40_tol0.049,0.049,9,0.8,0.775,True,0.775
uniform_n40_tol0.049,0.049,10,0.775,0.75,True,0.75
uniform_n40_tol0.049,0.049,11,0.75,0.725,True,0.725
uniform_n40_tol0.049,0.049,12,0.725,0.7,True,0.7
uniform_n40_tol0.049,0.049,13,0.7,0.675,True,0.675
uniform_n40_tol0.049,0.049,14,0.675,0.65,True,0.65
uniform_n40_tol0.049,0.049,15,0.65,0.625,True,0.625
uniform_n40_tol0.049,0.049,16,0.625,0.6,True,0.6
uniform_n40_tol0.049,0.049,17,0.6,0.575,True,0.575
uniform_n40_tol0.049,0.049,18,0.575,0.55,True,0.55
uniform_n40_tol0.049,0.049,19,0.55,0.525,True,0.525
uniform_n40_tol0.049,0.049,20,0.525,0.5,True,0.5
uniform_n40_tol0.049,0.049,21,0.5,0.475,True,0.475
uniform_n40_tol0.049,0.049,22,0.475,0.45,True,0.45
uniform_n40_tol0.049,0.049,23,0.45,0.425,True,0.425
uniform_n40_tol0.049,0.049,24,0.425,0.4,True,0.4
uniform_n40_tol0.049,0.049,25,0.4,0.375,True,0.375
uniform_n40_tol0.049,0.049,26,0.375,0.35,True,0.35
uniform_n40_tol0.049,0.049,27,0.35,0.325,True,0.325
uniform_n40_tol0.049,0.049,28,0.325,0.3,True,0.3
uniform_n40_tol0.049,0.049,29,0.3,0.275,True,0.275
uniform_n40_tol0.049,0.049,30,0.275,0.25,True,0.25
uniform_n40_tol0.049,0.049,31,0.25,0.225,True,0.225
uniform_n40_tol0.049,0.049,32,0.225,0.2,True,0.2
