run_id,condition_id,seed,L_min_real,L_min_binary64,L_actual,accepted_step_count,rejected_step_count,first_rejection_step,final_belief,target_reached,first_target_step,bridge_completion
minimum_float_frontier_seed7,minimum_float_frontier,7,20,21,21,21,0,,0.0,True,21,True
minimum_uniform19_seed7,minimum_uniform19,7,20,21,19,0,19,1,1.0,False,,False
minimum_uniform20_seed7,minimum_uniform20,7,20,21,20,0,20,1,1.0,False,,False
minimum_uniform21_seed7,minimum_uniform21,7,20,21,21,21,0,,0.0,True,21,True
minimum_float_frontier_seed17,minimum_float_frontier,17,20,21,21,21,0,,0.0,True,21,True
minimum_uniform19_seed17,minimum_uniform19,17,20,21,19,0,19,1,1.0,False,,False
minimum_uniform20_seed17,minimum_uniform20,17,20,21,20,0,20,1,1.0,False,,False
minimum_uniform21_seed17,minimum_uniform21,17,20,21,21,21,0,,0.0,True,21,True
minimum_float_frontier_seed29,minimum_float_frontier,29,20,21,21,21,0,,0.0,True,21,True
minimum_uniform19_seed29,minimum_uniform19,29,20,21,19,0,19,1,1.0,False,,False
minimum_uniform20_seed29,minimum_uniform20,29,20,21,20,0,20,1,1.0,False,,False
minimum_uniform21_seed29,minimum_uniform21,29,20,21,21,21,0,,0.0,True,21,True
minimum_float_frontier_seed41,minimum_float_frontier,41,20,21,21,21,0,,0.0,True,21,True
minimum_uniform19_seed41,minimum_uniform19,41,20,21,19,0,19,1,1.0,False,,False
minimum_uniform20_seed41,minimum_uniform20,41,20,21,20,0,20,1,1.0,False,,False
minimum_uniform21_seed41,minimum_uniform21,41,20,21,21,21,0,,0.0,True,21,True
minimum_float_frontier_seed53,minimum_float_frontier,53,20,21,21,21,0,,0.0,True,21,True
minimum_uniform19_seed53,minimum_uniform19,53,20,21,19,0,19,1,1.0,False,,False
minimum_uniform20_seed53,minimum_uniform20,53,20,21,20,0,20,1,1.0,False,,False
minimum_uniform21_seed53,minimum_uniform21,53,20,21,21,21,0,,0.0,True,21,True
