seed,run_a,run_b,order_a,order_b,token,input_value,step_a,step_b,belief_before_a,belief_before_b,accepted_a,accepted_b,gap_a,gap_b
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,1,0.95,2,119,0.975,1.0,True,False,0.025000000000000022,0.050000000000000044
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,2,0.925,3,118,0.95,1.0,True,False,0.02499999999999991,0.07499999999999996
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,3,0.9,4,117,0.925,1.0,True,False,0.025000000000000022,0.09999999999999998
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,4,0.875,5,116,0.9,1.0,True,False,0.025000000000000022,0.125
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,5,0.85,6,115,0.875,1.0,True,False,0.025000000000000022,0.15000000000000002
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,6,0.825,7,114,0.85,1.0,True,False,0.025000000000000022,0.17500000000000004
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,7,0.8,8,113,0.825,1.0,True,False,0.02499999999999991,0.19999999999999996
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,8,0.775,9,112,0.8,1.0,True,False,0.025000000000000022,0.22499999999999998
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,9,0.75,10,111,0.775,1.0,True,False,0.025000000000000022,0.25
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,10,0.725,11,110,0.75,1.0,True,False,0.025000000000000022,0.275
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,11,0.7,12,109,0.725,1.0,True,False,0.025000000000000022,0.30000000000000004
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,12,0.675,13,108,0.7,1.0,True,False,0.02499999999999991,0.32499999999999996
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,13,0.6499999999999999,14,107,0.675,1.0,True,False,0.025000000000000133,0.3500000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,14,0.625,15,106,0.6499999999999999,1.0,True,False,0.02499999999999991,0.375
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,15,0.6,16,105,0.625,1.0,True,False,0.025000000000000022,0.4
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,16,0.575,17,104,0.6,1.0,True,False,0.025000000000000022,0.42500000000000004
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,17,0.55,18,103,0.575,1.0,True,False,0.02499999999999991,0.44999999999999996
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,18,0.5249999999999999,19,102,0.55,1.0,True,False,0.025000000000000133,0.4750000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,19,0.5,20,101,0.5249999999999999,1.0,True,False,0.02499999999999991,0.5
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,20,0.475,21,100,0.5,1.0,True,False,0.025000000000000022,0.525
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,21,0.44999999999999996,22,99,0.475,1.0,True,False,0.025000000000000022,0.55
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,22,0.42499999999999993,23,98,0.44999999999999996,1.0,True,False,0.025000000000000022,0.5750000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,23,0.3999999999999999,24,97,0.42499999999999993,1.0,True,False,0.025000000000000022,0.6000000000000001
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,24,0.375,25,96,0.3999999999999999,1.0,True,False,0.02499999999999991,0.625
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,25,0.35,26,95,0.375,1.0,True,False,0.025000000000000022,0.65
