seed,run_a,run_b,order_a,order_b,same_multiset,first_divergence_step,first_acceptance_flag_divergence_step,shared_token_decision_differences,first_shared_witness_token,first_shared_witness_value,first_shared_witness_step_a,first_shared_witness_step_b,classification_a,classification_b
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,True,1,1,119,1,0.95,2,119,E_relapse,A_genuine_revision_candidate
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,True,2,2,37,39,0.0,40,2,E_relapse,E_relapse
7,control_E_gradual_seed7,order_shuffled_seed7,descending,shuffled,True,1,1,119,1,0.95,2,18,E_relapse,A_genuine_revision_candidate
7,order_ascending_seed7,order_alternating_seed7,ascending,alternating,True,1,1,82,76,0.0,38,76,A_genuine_revision_candidate,E_relapse
7,order_ascending_seed7,order_shuffled_seed7,ascending,shuffled,True,72,72,0,,,,,A_genuine_revision_candidate,A_genuine_revision_candidate
7,order_alternating_seed7,order_shuffled_seed7,alternating,shuffled,True,1,1,82,1,0.95,3,18,E_relapse,A_genuine_revision_candidate
17,control_E_gradual_seed17,order_ascending_seed17,descending,ascending,True,1,1,119,1,0.95,2,119,E_relapse,A_genuine_revision_candidate
17,control_E_gradual_seed17,order_alternating_seed17,descending,alternating,True,2,2,37,39,0.0,40,2,E_relapse,E_relapse
17,control_E_gradual_seed17,order_shuffled_seed17,descending,shuffled,True,1,1,116,4,0.875,5,94,E_relapse,A_genuine_revision_candidate
17,order_ascending_seed17,order_alternating_seed17,ascending,alternating,True,1,1,82,76,0.0,38,76,A_genuine_revision_candidate,E_relapse
17,order_ascending_seed17,order_shuffled_seed17,ascending,shuffled,True,71,71,3,3,0.9,117,95,A_genuine_revision_candidate,A_genuine_revision_candidate
17,order_alternating_seed17,order_shuffled_seed17,alternating,shuffled,True,1,1,79,4,0.875,9,94,E_relapse,A_genuine_revision_candidate
29,control_E_gradual_seed29,order_ascending_seed29,descending,ascending,True,1,1,119,1,0.95,2,119,E_relapse,A_genuine_revision_candidate
29,control_E_gradual_seed29,order_alternating_seed29,descending,alternating,True,2,2,37,39,0.0,40,2,E_relapse,E_relapse
29,control_E_gradual_seed29,order_shuffled_seed29,descending,shuffled,True,1,1,119,1,0.95,2,28,E_relapse,A_genuine_revision_candidate
29,order_ascending_seed29,order_alternating_seed29,ascending,alternating,True,1,1,82,76,0.0,38,76,A_genuine_revision_candidate,E_relapse
29,order_ascending_seed29,order_shuffled_seed29,ascending,shuffled,True,50,50,0,,,,,A_genuine_revision_candidate,A_genuine_revision_candidate
29,order_alternating_seed29,order_shuffled_seed29,alternating,shuffled,True,1,1,82,1,0.95,3,28,E_relapse,A_genuine_revision_candidate
41,control_E_gradual_seed41,order_ascending_seed41,descending,ascending,True,1,1,119,1,0.95,2,119,E_relapse,A_genuine_revision_candidate
41,control_E_gradual_seed41,order_alternating_seed41,descending,alternating,True,2,2,37,39,0.0,40,2,E_relapse,E_relapse
41,control_E_gradual_seed41,order_shuffled_seed41,descending,shuffled,True,1,1,119,1,0.95,2,85,E_relapse,A_genuine_revision_candidate
41,order_ascending_seed41,order_alternating_seed41,ascending,alternating,True,1,1,82,76,0.0,38,76,A_genuine_revision_candidate,E_relapse
41,order_ascending_seed41,order_shuffled_seed41,ascending,shuffled,True,113,113,0,,,,,A_genuine_revision_candidate,A_genuine_revision_candidate
41,order_alternating_seed41,order_shuffled_seed41,alternating,shuffled,True,1,1,82,1,0.95,3,85,E_relapse,A_genuine_revision_candidate
53,control_E_gradual_seed53,order_ascending_seed53,descending,ascending,True,1,1,119,1,0.95,2,119,E_relapse,A_genuine_revision_candidate
53,control_E_gradual_seed53,order_alternating_seed53,descending,alternating,True,2,2,37,39,0.0,40,2,E_relapse,E_relapse
53,control_E_gradual_seed53,order_shuffled_seed53,descending,shuffled,True,1,1,116,4,0.875,5,73,E_relapse,A_genuine_revision_candidate
53,order_ascending_seed53,order_alternating_seed53,ascending,alternating,True,1,1,82,76,0.0,38,76,A_genuine_revision_candidate,E_relapse
53,order_ascending_seed53,order_shuffled_seed53,ascending,shuffled,True,8,8,3,3,0.9,117,85,A_genuine_revision_candidate,A_genuine_revision_candidate
53,order_alternating_seed53,order_shuffled_seed53,alternating,shuffled,True,1,1,79,4,0.875,9,73,E_relapse,A_genuine_revision_candidate
