graph_id,kind,denominator,tol,node_count,edge_count,component_count,path_exists,shortest_path_length,shortest_path_count,witness,witness_replayed,primary_tol
uniform_n20_tol0.049,uniform,20,0.049,21,0,21,False,,0,[],False,False
uniform_n20_tol0.05,uniform,20,0.05,21,12,9,False,,0,[],False,True
uniform_n20_tol0.051,uniform,20,0.051,21,20,1,True,20,1,"[1.0, 0.95, 0.9, 0.85, 0.8, 0.75, 0.7, 0.65, 0.6, 0.55, 0.5, 0.45, 0.4, 0.35, 0.3, 0.25, 0.2, 0.15, 0.1, 0.05, 0.0]",True,False
uniform_n40_tol0.049,uniform,40,0.049,41,40,1,True,40,1,"[1.0, 0.975, 0.95, 0.925, 0.9, 0.875, 0.85, 0.825, 0.8, 0.775, 0.75, 0.725, 0.7, 0.675, 0.65, 0.625, 0.6, 0.575, 0.55, 0.525, 0.5, 0.475, 0.45, 0.425, 0.4, 0.375, 0.35, 0.325, 0.3, 0.275, 0.25, 0.225, 0.2, 0.175, 0.15, 0.125, 0.1, 0.075, 0.05, 0.025, 0.0]",True,False
uniform_n40_tol0.05,uniform,40,0.05,41,63,1,True,28,576,"[1.0, 0.975, 0.925, 0.9, 0.875, 0.85, 0.8, 0.775, 0.75, 0.725, 0.675, 0.65, 0.625, 0.6, 0.55, 0.525, 0.5, 0.45, 0.4, 0.375, 0.325, 0.275, 0.25, 0.2, 0.175, 0.125, 0.075, 0.025, 0.0]",True,True
uniform_n40_tol0.051,uniform,40,0.051,41,79,1,True,20,1,"[1.0, 0.95, 0.9, 0.85, 0.8, 0.75, 0.7, 0.65, 0.6, 0.55, 0.5, 0.45, 0.4, 0.35, 0.3, 0.25, 0.2, 0.15, 0.1, 0.05, 0.0]",True,False
uniform_n80_tol0.049,uniform,80,0.049,81,237,1,True,27,27,"[1.0, 0.9625, 0.925, 0.8875, 0.85, 0.8125, 0.775, 0.7375, 0.7, 0.6625, 0.625, 0.5875, 0.55, 0.5125, 0.475, 0.4375, 0.4, 0.3625, 0.325, 0.2875, 0.25, 0.2125, 0.175, 0.1375, 0.1, 0.0625, 0.025, 0.0]",True,False
uniform_n80_tol0.05,uniform,80,0.05,81,282,1,True,23,128,"[1.0, 0.9625, 0.925, 0.8875, 0.8375, 0.8, 0.7625, 0.7125, 0.675, 0.6375, 0.5875, 0.55, 0.5125, 0.4625, 0.425, 0.375, 0.325, 0.275, 0.2375, 0.1875, 0.1375, 0.1, 0.05, 0.0]",True,True
uniform_n80_tol0.051,uniform,80,0.051,81,314,1,True,20,1,"[1.0, 0.95, 0.9, 0.85, 0.8, 0.75, 0.7, 0.65, 0.6, 0.55, 0.5, 0.45, 0.4, 0.35, 0.3, 0.25, 0.2, 0.15, 0.1, 0.05, 0.0]",True,False
witness_augmented_n40_tol0.05,witness_augmented,40,0.05,61,161,1,True,21,14,"[1.0, 0.9500000000000001, 0.9000000000000001, 0.8500000000000002, 0.8000000000000003, 0.7500000000000003, 0.7000000000000004, 0.6500000000000005, 0.6000000000000005, 0.5500000000000006, 0.5000000000000007, 0.4500000000000007, 0.4000000000000007, 0.3500000000000007, 0.3000000000000007, 0.2500000000000007, 0.20000000000000073, 0.15000000000000074, 0.10000000000000074, 0.05000000000000074, 7.320533068622126e-16, 0.0]",True,True
