regime,arm,evidence_strength,runs,classifications,mean_D_pre,mean_D_post,mean_delta_D,qualifying_runs,genuine_revision_count,apparent_correction_count,relapse_runs,relapse_rate,relapse_rate_all_runs,persistent_escape_rate,time_to_relapse
descending_bridge,B_compliance_diagnostic,None,3,B_external_compliance,1.0,1.0,0.0,0,0,3,0,,0.0,0.0,
descending_bridge,C0_no_injection,None,3,control_stable_no_injection,1.0,1.0,0.0,0,0,0,0,,0.0,0.0,
descending_bridge,C1_ordinary_reference,None,3,C_rejection,1.0,1.0,0.0,0,0,0,0,,0.0,0.0,
descending_bridge,T1_single,0.25,3,C_rejection,1.0,1.0,0.0,0,0,0,0,,0.0,0.0,
descending_bridge,T1_single,0.75,3,E_relapse,1.0,1.0,0.0,3,0,0,3,1.0,1.0,0.0,39
descending_bridge,T1_single,1.0,3,E_relapse,1.0,1.0,0.0,3,0,0,3,1.0,1.0,0.0,39
descending_bridge,T2_repeated,0.25,3,C_rejection,1.0,1.0,0.0,0,0,0,0,,0.0,0.0,
descending_bridge,T2_repeated,0.75,3,E_relapse,1.0,1.0,0.0,3,0,0,3,1.0,1.0,0.0,39
descending_bridge,T2_repeated,1.0,3,E_relapse,1.0,1.0,0.0,3,0,0,3,1.0,1.0,0.0,79
stationary,B_compliance_diagnostic,None,3,B_external_compliance,1.0,1.0,0.0,0,0,3,0,,0.0,0.0,
stationary,C0_no_injection,None,3,control_stable_no_injection,1.0,1.0,0.0,0,0,0,0,,0.0,0.0,
stationary,C1_ordinary_reference,None,3,C_rejection,1.0,1.0,0.0,0,0,0,0,,0.0,0.0,
stationary,T1_single,0.25,3,C_rejection,1.0,1.0,0.0,0,0,0,0,,0.0,0.0,
stationary,T1_single,0.75,3,A_genuine_revision_candidate,1.0,0.0,-1.0,3,3,0,0,0.0,0.0,1.0,
stationary,T1_single,1.0,3,A_genuine_revision_candidate,1.0,0.0,-1.0,3,3,0,0,0.0,0.0,1.0,
stationary,T2_repeated,0.25,3,C_rejection,1.0,1.0,0.0,0,0,0,0,,0.0,0.0,
stationary,T2_repeated,0.75,3,A_genuine_revision_candidate,1.0,0.0,-1.0,3,3,0,0,0.0,0.0,1.0,
stationary,T2_repeated,1.0,3,A_genuine_revision_candidate,1.0,0.0,-1.0,3,3,0,0,0.0,0.0,1.0,
