run_id,regime,seed,baseline_steps,phase,probe,returned_belief,passed
stationary_7_C0_no_injection_na,stationary,7,11,0,0,0.0,True
stationary_7_C0_no_injection_na,stationary,7,11,0,0.0125,0.0,True
stationary_7_C0_no_injection_na,stationary,7,11,0,0.025,0.0,True
stationary_7_C1_ordinary_reference_na,stationary,7,11,0,0,0.0,True
stationary_7_C1_ordinary_reference_na,stationary,7,11,0,0.0125,0.0,True
stationary_7_C1_ordinary_reference_na,stationary,7,11,0,0.025,0.0,True
stationary_7_T1_single_0.25,stationary,7,11,0,0,0.0,True
stationary_7_T1_single_0.25,stationary,7,11,0,0.0125,0.0,True
stationary_7_T1_single_0.25,stationary,7,11,0,0.025,0.0,True
stationary_7_T1_single_0.75,stationary,7,11,0,0,0.0,True
stationary_7_T1_single_0.75,stationary,7,11,0,0.0125,0.0,True
stationary_7_T1_single_0.75,stationary,7,11,0,0.025,0.0,True
stationary_7_T1_single_1.0,stationary,7,11,0,0,0.0,True
stationary_7_T1_single_1.0,stationary,7,11,0,0.0125,0.0,True
stationary_7_T1_single_1.0,stationary,7,11,0,0.025,0.0,True
stationary_7_T2_repeated_0.25,stationary,7,11,0,0,0.0,True
stationary_7_T2_repeated_0.25,stationary,7,11,0,0.0125,0.0,True
stationary_7_T2_repeated_0.25,stationary,7,11,0,0.025,0.0,True
stationary_7_T2_repeated_0.75,stationary,7,11,0,0,0.0,True
stationary_7_T2_repeated_0.75,stationary,7,11,0,0.0125,0.0,True
stationary_7_T2_repeated_0.75,stationary,7,11,0,0.025,0.0,True
stationary_7_T2_repeated_1.0,stationary,7,11,0,0,0.0,True
stationary_7_T2_repeated_1.0,stationary,7,11,0,0.0125,0.0,True
stationary_7_T2_repeated_1.0,stationary,7,11,0,0.025,0.0,True
stationary_7_B_compliance_diagnostic_na,stationary,7,11,0,0,0.0,True
stationary_7_B_compliance_diagnostic_na,stationary,7,11,0,0.0125,0.0,True
stationary_7_B_compliance_diagnostic_na,stationary,7,11,0,0.025,0.0,True
stationary_17_C0_no_injection_na,stationary,17,11,0,0,0.0,True
stationary_17_C0_no_injection_na,stationary,17,11,0,0.0125,0.0,True
stationary_17_C0_no_injection_na,stationary,17,11,0,0.025,0.0,True
stationary_17_C1_ordinary_reference_na,stationary,17,11,0,0,0.0,True
stationary_17_C1_ordinary_reference_na,stationary,17,11,0,0.0125,0.0,True
stationary_17_C1_ordinary_reference_na,stationary,17,11,0,0.025,0.0,True
stationary_17_T1_single_0.25,stationary,17,11,0,0,0.0,True
stationary_17_T1_single_0.25,stationary,17,11,0,0.0125,0.0,True
stationary_17_T1_single_0.25,stationary,17,11,0,0.025,0.0,True
stationary_17_T1_single_0.75,stationary,17,11,0,0,0.0,True
stationary_17_T1_single_0.75,stationary,17,11,0,0.0125,0.0,True
stationary_17_T1_single_0.75,stationary,17,11,0,0.025,0.0,True
stationary_17_T1_single_1.0,stationary,17,11,0,0,0.0,True
stationary_17_T1_single_1.0,stationary,17,11,0,0.0125,0.0,True
stationary_17_T1_single_1.0,stationary,17,11,0,0.025,0.0,True
stationary_17_T2_repeated_0.25,stationary,17,11,0,0,0.0,True
stationary_17_T2_repeated_0.25,stationary,17,11,0,0.0125,0.0,True
stationary_17_T2_repeated_0.25,stationary,17,11,0,0.025,0.0,True
stationary_17_T2_repeated_0.75,stationary,17,11,0,0,0.0,True
stationary_17_T2_repeated_0.75,stationary,17,11,0,0.0125,0.0,True
stationary_17_T2_repeated_0.75,stationary,17,11,0,0.025,0.0,True
stationary_17_T2_repeated_1.0,stationary,17,11,0,0,0.0,True
stationary_17_T2_repeated_1.0,stationary,17,11,0,0.0125,0.0,True
stationary_17_T2_repeated_1.0,stationary,17,11,0,0.025,0.0,True
stationary_17_B_compliance_diagnostic_na,stationary,17,11,0,0,0.0,True
stationary_17_B_compliance_diagnostic_na,stationary,17,11,0,0.0125,0.0,True
stationary_17_B_compliance_diagnostic_na,stationary,17,11,0,0.025,0.0,True
stationary_29_C0_no_injection_na,stationary,29,11,0,0,0.0,True
stationary_29_C0_no_injection_na,stationary,29,11,0,0.0125,0.0,True
stationary_29_C0_no_injection_na,stationary,29,11,0,0.025,0.0,True
stationary_29_C1_ordinary_reference_na,stationary,29,11,0,0,0.0,True
