regime,axis,fixed_variable,fixed_value,target,lower_tested,first_observed,status,monotone_observed_presence
stationary,strength,frequency,1,qualifying_revision_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,1,persistent_escape_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,2,qualifying_revision_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,2,persistent_escape_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,3,qualifying_revision_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,3,persistent_escape_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,4,qualifying_revision_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,4,persistent_escape_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,8,qualifying_revision_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,8,persistent_escape_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,16,qualifying_revision_rate,0.58,0.59,bracketed,True
stationary,strength,frequency,16,persistent_escape_rate,0.58,0.59,bracketed,True
stationary,frequency,strength,0.1,qualifying_revision_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.1,persistent_escape_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.2,qualifying_revision_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.2,persistent_escape_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.25,qualifying_revision_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.25,persistent_escape_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.3,qualifying_revision_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.3,persistent_escape_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.4,qualifying_revision_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.4,persistent_escape_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.5,qualifying_revision_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.5,persistent_escape_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.55,qualifying_revision_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.55,persistent_escape_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.58,qualifying_revision_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.58,persistent_escape_rate,,,not_observed_in_range,True
stationary,frequency,strength,0.59,qualifying_revision_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.59,persistent_escape_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.6,qualifying_revision_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.6,persistent_escape_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.7,qualifying_revision_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.7,persistent_escape_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.75,qualifying_revision_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.75,persistent_escape_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.8,qualifying_revision_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.8,persistent_escape_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.9,qualifying_revision_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,0.9,persistent_escape_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,1.0,qualifying_revision_rate,,1,already_at_minimum_sample,True
stationary,frequency,strength,1.0,persistent_escape_rate,,1,already_at_minimum_sample,True
descending_bridge,strength,frequency,1,qualifying_revision_rate,0.58,0.59,bracketed,True
descending_bridge,strength,frequency,1,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,strength,frequency,2,qualifying_revision_rate,0.58,0.59,bracketed,True
descending_bridge,strength,frequency,2,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,strength,frequency,3,qualifying_revision_rate,0.58,0.59,bracketed,True
descending_bridge,strength,frequency,3,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,strength,frequency,4,qualifying_revision_rate,0.58,0.59,bracketed,True
descending_bridge,strength,frequency,4,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,strength,frequency,8,qualifying_revision_rate,0.58,0.59,bracketed,True
descending_bridge,strength,frequency,8,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,strength,frequency,16,qualifying_revision_rate,0.58,0.59,bracketed,True
descending_bridge,strength,frequency,16,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.1,qualifying_revision_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.1,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.2,qualifying_revision_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.2,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.25,qualifying_revision_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.25,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.3,qualifying_revision_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.3,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.4,qualifying_revision_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.4,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.5,qualifying_revision_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.5,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.55,qualifying_revision_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.55,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.58,qualifying_revision_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.58,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.59,qualifying_revision_rate,,1,already_at_minimum_sample,True
descending_bridge,frequency,strength,0.59,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.6,qualifying_revision_rate,,1,already_at_minimum_sample,True
descending_bridge,frequency,strength,0.6,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.7,qualifying_revision_rate,,1,already_at_minimum_sample,True
descending_bridge,frequency,strength,0.7,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.75,qualifying_revision_rate,,1,already_at_minimum_sample,True
descending_bridge,frequency,strength,0.75,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.8,qualifying_revision_rate,,1,already_at_minimum_sample,True
descending_bridge,frequency,strength,0.8,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,0.9,qualifying_revision_rate,,1,already_at_minimum_sample,True
descending_bridge,frequency,strength,0.9,persistent_escape_rate,,,not_observed_in_range,True
descending_bridge,frequency,strength,1.0,qualifying_revision_rate,,1,already_at_minimum_sample,True
descending_bridge,frequency,strength,1.0,persistent_escape_rate,,,not_observed_in_range,True
