regime,strength,frequency,seeds,outcome_counts,outcome,rejection_rate,relapse_rate,persistent_escape_rate,qualifying_revision_rate,conditional_relapse_rate,mean_T_relapse,min_T_relapse,max_T_relapse,mean_D_pre,mean_D_immediate,mean_D_final,mean_D_post,mean_delta_D,mean_acceptance_rate,mean_rejection_rate
descending_bridge,0.1,1,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.1,2,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.1,3,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.1,4,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.1,8,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.1,16,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.2,1,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.2,2,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.2,3,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.2,4,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.2,8,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.2,16,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.25,1,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.25,2,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
descending_bridge,0.25,3,5,"{""C_rejection"": 5}",C_rejection,1.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,0.0,0.5125,0.4875
