family,seed,phase,probe,returned_belief,passed
stationary,7,0,0,0.0,True
stationary,7,0,0.0125,0.0,True
stationary,7,0,0.025,0.0,True
stationary,17,0,0,0.0,True
stationary,17,0,0.0125,0.0,True
stationary,17,0,0.025,0.0,True
stationary,29,0,0,0.0,True
stationary,29,0,0.0125,0.0,True
stationary,29,0,0.025,0.0,True
stationary,41,0,0,0.0,True
stationary,41,0,0.0125,0.0,True
stationary,41,0,0.025,0.0,True
stationary,53,0,0,0.0,True
stationary,53,0,0.0125,0.0,True
stationary,53,0,0.025,0.0,True
descending_bridge,7,0,0,0.0,True
descending_bridge,7,0,0.0125,0.0,True
descending_bridge,7,0,0.025,0.0,True
descending_bridge,7,1,0,0.0,True
descending_bridge,7,1,0.0125,0.0,True
descending_bridge,7,1,0.025,0.0,True
descending_bridge,7,2,0,0.0,True
descending_bridge,7,2,0.0125,0.0,True
descending_bridge,7,2,0.025,0.0,True
descending_bridge,7,3,0,0.0,True
descending_bridge,7,3,0.0125,0.0,True
descending_bridge,7,3,0.025,0.0,True
descending_bridge,7,4,0,0.0,True
descending_bridge,7,4,0.0125,0.0,True
descending_bridge,7,4,0.025,0.0,True
descending_bridge,7,5,0,0.0,True
descending_bridge,7,5,0.0125,0.0,True
descending_bridge,7,5,0.025,0.0,True
descending_bridge,7,6,0,0.0,True
descending_bridge,7,6,0.0125,0.0,True
descending_bridge,7,6,0.025,0.0,True
descending_bridge,7,7,0,0.0,True
descending_bridge,7,7,0.0125,0.0,True
descending_bridge,7,7,0.025,0.0,True
descending_bridge,7,8,0,0.0,True
descending_bridge,7,8,0.0125,0.0,True
descending_bridge,7,8,0.025,0.0,True
descending_bridge,7,9,0,0.0,True
descending_bridge,7,9,0.0125,0.0,True
descending_bridge,7,9,0.025,0.0,True
descending_bridge,7,10,0,0.0,True
descending_bridge,7,10,0.0125,0.0,True
descending_bridge,7,10,0.025,0.0,True
descending_bridge,7,11,0,0.0,True
descending_bridge,7,11,0.0125,0.0,True
descending_bridge,7,11,0.025,0.0,True
descending_bridge,7,12,0,0.0,True
descending_bridge,7,12,0.0125,0.0,True
descending_bridge,7,12,0.025,0.0,True
descending_bridge,7,13,0,0.0,True
descending_bridge,7,13,0.0125,0.0,True
descending_bridge,7,13,0.025,0.0,True
descending_bridge,7,14,0,0.0,True
descending_bridge,7,14,0.0125,0.0,True
descending_bridge,7,14,0.025,0.0,True
descending_bridge,7,15,0,0.0,True
descending_bridge,7,15,0.0125,0.0,True
descending_bridge,7,15,0.025,0.0,True
descending_bridge,7,16,0,0.0,True
descending_bridge,7,16,0.0125,0.0,True
descending_bridge,7,16,0.025,0.0,True
descending_bridge,7,17,0,0.0,True
descending_bridge,7,17,0.0125,0.0,True
descending_bridge,7,17,0.025,0.0,True
descending_bridge,7,18,0,0.0,True
descending_bridge,7,18,0.0125,0.0,True
descending_bridge,7,18,0.025,0.0,True
descending_bridge,7,19,0,0.0,True
descending_bridge,7,19,0.0125,0.0,True
descending_bridge,7,19,0.025,0.0,True
descending_bridge,7,20,0,0.0,True
descending_bridge,7,20,0.0125,0.0,True
descending_bridge,7,20,0.025,0.0,True
descending_bridge,7,21,0,0.0,True
