seed,multiset_group,condition_a,condition_b,same_multiset,q_a,q_b,outcome_a,outcome_b,D_final_a,D_final_b,outcome_changed,D_path_changed
7,endpoints,abrupt_return_q0.5_vNone_orderNone,endpoint_order_q0.5_vNone_orderR_first,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
7,endpoints,abrupt_return_q0.5_vNone_orderNone,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
7,endpoints,endpoint_order_q0.5_vNone_orderR_first,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
7,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_orderascending,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.025000000000000022,True,True
7,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_ordershuffled,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.025000000000000022,True,True
7,bridge_values,bridge_order_q1.0_v0.025_orderascending,bridge_order_q1.0_v0.025_ordershuffled,True,1.0,1.0,A_genuine_revision_candidate,A_genuine_revision_candidate,0.025000000000000022,0.025000000000000022,False,True
17,endpoints,abrupt_return_q0.5_vNone_orderNone,endpoint_order_q0.5_vNone_orderR_first,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
17,endpoints,abrupt_return_q0.5_vNone_orderNone,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
17,endpoints,endpoint_order_q0.5_vNone_orderR_first,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
17,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_orderascending,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.025000000000000022,True,True
17,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_ordershuffled,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.09999999999999998,True,True
17,bridge_values,bridge_order_q1.0_v0.025_orderascending,bridge_order_q1.0_v0.025_ordershuffled,True,1.0,1.0,A_genuine_revision_candidate,A_genuine_revision_candidate,0.025000000000000022,0.09999999999999998,False,True
29,endpoints,abrupt_return_q0.5_vNone_orderNone,endpoint_order_q0.5_vNone_orderR_first,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
29,endpoints,abrupt_return_q0.5_vNone_orderNone,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
29,endpoints,endpoint_order_q0.5_vNone_orderR_first,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
29,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_orderascending,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.025000000000000022,True,True
29,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_ordershuffled,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.025000000000000022,True,True
29,bridge_values,bridge_order_q1.0_v0.025_orderascending,bridge_order_q1.0_v0.025_ordershuffled,True,1.0,1.0,A_genuine_revision_candidate,A_genuine_revision_candidate,0.025000000000000022,0.025000000000000022,False,True
41,endpoints,abrupt_return_q0.5_vNone_orderNone,endpoint_order_q0.5_vNone_orderR_first,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
41,endpoints,abrupt_return_q0.5_vNone_orderNone,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
41,endpoints,endpoint_order_q0.5_vNone_orderR_first,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
41,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_orderascending,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.025000000000000022,True,True
41,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_ordershuffled,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.025000000000000022,True,True
41,bridge_values,bridge_order_q1.0_v0.025_orderascending,bridge_order_q1.0_v0.025_ordershuffled,True,1.0,1.0,A_genuine_revision_candidate,A_genuine_revision_candidate,0.025000000000000022,0.025000000000000022,False,True
53,endpoints,abrupt_return_q0.5_vNone_orderNone,endpoint_order_q0.5_vNone_orderR_first,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
53,endpoints,abrupt_return_q0.5_vNone_orderNone,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
53,endpoints,endpoint_order_q0.5_vNone_orderR_first,alternating_q0.5_vNone_orderNone,True,0.5,0.5,A_genuine_revision_candidate,A_genuine_revision_candidate,0.0,0.0,False,False
53,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_orderascending,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.025000000000000022,True,True
53,bridge_values,gradual_drift_q1.0_v0.025_orderNone,bridge_order_q1.0_v0.025_ordershuffled,True,1.0,1.0,E_relapse,A_genuine_revision_candidate,1.0,0.09999999999999998,True,True
