condition_id,family,q_nominal,drift_v,order,runs,outcome_counts,persistent_escape_rate,relapse_rate,rejection_rate,mixed_rate,mean_q_actual,mean_D_final,mean_D_min,mean_time_to_relapse,mean_recapture_slope_net,mean_recapture_slope_active,mean_early_C_mean,mean_C_post,mean_corrective_before_failure,mean_contradictory_before_failure
stationary_qNone_vNone_orderNone,stationary,,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,1.0,1.0,,
descending_bridge_qNone_vNone_orderNone,descending_bridge,,,,5,"{""E_relapse"": 5}",0.0,1.0,0.0,0.0,0.9875,1.0,0.0,39.0,0.02435897435897436,0.024999999999999998,0.9775,0.99875,1.0,77.0
no_input_qNone_vNone_orderNone,no_input,,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,
noisy_corrective_qNone_vNone_orderNone,noisy_corrective,,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.5133333333333333,0.03249530679877997,0.0,,,,0.983775117632371,0.9815636260453712,,
abrupt_return_q0_vNone_orderNone,abrupt_return,0,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,,
abrupt_return_q0.1_vNone_orderNone,abrupt_return,0.1,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,1.0,,
abrupt_return_q0.25_vNone_orderNone,abrupt_return,0.25,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.25,0.0,0.0,,,,,1.0,,
abrupt_return_q0.5_vNone_orderNone,abrupt_return,0.5,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,1.0,,
abrupt_return_q0.75_vNone_orderNone,abrupt_return,0.75,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.75,0.0,0.0,,,,,1.0,,
abrupt_return_q0.9_vNone_orderNone,abrupt_return,0.9,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,1.0,,
abrupt_return_q1.0_vNone_orderNone,abrupt_return,1.0,,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
gradual_drift_q0_v0.01_orderNone,gradual_drift,0,0.01,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,,
gradual_drift_q0.1_v0.01_orderNone,gradual_drift,0.1,0.01,,5,"{""A_genuine_revision_candidate"": 5}",1.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,1.0,1.0,,
