run_id,regime,seed,arm,evidence_strength,condition_id,family,q_nominal,drift_v,order,baseline_steps,attractor_belief,stable_window,local_probe_count,local_probes_passed,D_pre,D_immediate_first,D_immediate_last,D_final,D_post,delta_D,C_pre,C_post,C_post_defined_steps,normal_accepted,normal_rejected,acceptance_rate,rejection_rate,external_delivery_count,bypass_delivery_count,external_update_accepted_count,external_rejected_count,actual_revision_count,qualifying_revision_count,genuine_revision_count,apparent_correction_count,relapse_observed,relapse_rate_if_eligible,relapse_start_step,relapse_confirmation_step,time_to_relapse,time_to_relapse_from_last_injection,persistent_escape,persistent_escape_rate,normal_post_steps,steps_after_last_injection,classification,reference_corruption,reference_avoidance,post_inputs,corrective_offered,contradictory_offered,q_actual,q_old_halfspace,exact_old_count,input_mean,last_input,sequence_sha256,multiset_sha256,D_min,recapture_latency,recapture_slope_net,recapture_slope_active,corrective_before_failure,contradictory_before_failure,corrective_accepted_before_failure,contradictory_accepted_before_failure,C_at_relapse,early_C_mean,early_C_defined_steps,early_C_alarm,alarm_is_prospective,high_C_at_relapse
stationary_qNone_vNone_orderNone_seed7,stationary,7,post_input_dynamics,1.0,stationary_qNone_vNone_orderNone,stationary,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,120,0.5,0.5,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,240,120,120,0.5,0.5,120,0.5,1.0,6f9b8713dc59b047b277ae15fdb8efe1ccecb765cd45876754e94d9c49692b1c,906c69f0056fa7acf2cf39f3a6cfd7893667ab2803df3b8265b986865a27ea81,0.0,,,,,,,,,1.0,10,False,True,
stationary_qNone_vNone_orderNone_seed17,stationary,17,post_input_dynamics,1.0,stationary_qNone_vNone_orderNone,stationary,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,120,0.5,0.5,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,240,120,120,0.5,0.5,120,0.5,1.0,6f9b8713dc59b047b277ae15fdb8efe1ccecb765cd45876754e94d9c49692b1c,906c69f0056fa7acf2cf39f3a6cfd7893667ab2803df3b8265b986865a27ea81,0.0,,,,,,,,,1.0,10,False,True,
stationary_qNone_vNone_orderNone_seed29,stationary,29,post_input_dynamics,1.0,stationary_qNone_vNone_orderNone,stationary,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,120,0.5,0.5,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,240,120,120,0.5,0.5,120,0.5,1.0,6f9b8713dc59b047b277ae15fdb8efe1ccecb765cd45876754e94d9c49692b1c,906c69f0056fa7acf2cf39f3a6cfd7893667ab2803df3b8265b986865a27ea81,0.0,,,,,,,,,1.0,10,False,True,
stationary_qNone_vNone_orderNone_seed41,stationary,41,post_input_dynamics,1.0,stationary_qNone_vNone_orderNone,stationary,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,120,0.5,0.5,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,240,120,120,0.5,0.5,120,0.5,1.0,6f9b8713dc59b047b277ae15fdb8efe1ccecb765cd45876754e94d9c49692b1c,906c69f0056fa7acf2cf39f3a6cfd7893667ab2803df3b8265b986865a27ea81,0.0,,,,,,,,,1.0,10,False,True,
stationary_qNone_vNone_orderNone_seed53,stationary,53,post_input_dynamics,1.0,stationary_qNone_vNone_orderNone,stationary,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,20,120,120,0.5,0.5,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,240,120,120,0.5,0.5,120,0.5,1.0,6f9b8713dc59b047b277ae15fdb8efe1ccecb765cd45876754e94d9c49692b1c,906c69f0056fa7acf2cf39f3a6cfd7893667ab2803df3b8265b986865a27ea81,0.0,,,,,,,,,1.0,10,False,True,
descending_bridge_qNone_vNone_orderNone_seed7,descending_bridge,7,post_input_dynamics,1.0,descending_bridge_qNone_vNone_orderNone,descending_bridge,,,,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,1,0,1,1,0,0,True,1,39,43,39,39,False,0,120,120,E_relapse,not_available,not_available,240,3,237,0.9875,0.7375,120,0.25625,0.0,9e1ee9bfe6d306f81aa770957548311fd0ac39d710e0e7f4aab3e5f64f2b0a58,aa1f91ebcf2d315439e975362eb59fd1aef0062fef3e427e5aa54b0554f9873a,0.0,39,0.02435897435897436,0.024999999999999998,1,77,1,38,0.9750000000000001,0.9775,10,True,True,True
descending_bridge_qNone_vNone_orderNone_seed17,descending_bridge,17,post_input_dynamics,1.0,descending_bridge_qNone_vNone_orderNone,descending_bridge,,,,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,1,0,1,1,0,0,True,1,39,43,39,39,False,0,120,120,E_relapse,not_available,not_available,240,3,237,0.9875,0.7375,120,0.25625,0.0,9e1ee9bfe6d306f81aa770957548311fd0ac39d710e0e7f4aab3e5f64f2b0a58,aa1f91ebcf2d315439e975362eb59fd1aef0062fef3e427e5aa54b0554f9873a,0.0,39,0.02435897435897436,0.024999999999999998,1,77,1,38,0.9750000000000001,0.9775,10,True,True,True
descending_bridge_qNone_vNone_orderNone_seed29,descending_bridge,29,post_input_dynamics,1.0,descending_bridge_qNone_vNone_orderNone,descending_bridge,,,,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,1,0,1,1,0,0,True,1,39,43,39,39,False,0,120,120,E_relapse,not_available,not_available,240,3,237,0.9875,0.7375,120,0.25625,0.0,9e1ee9bfe6d306f81aa770957548311fd0ac39d710e0e7f4aab3e5f64f2b0a58,aa1f91ebcf2d315439e975362eb59fd1aef0062fef3e427e5aa54b0554f9873a,0.0,39,0.02435897435897436,0.024999999999999998,1,77,1,38,0.9750000000000001,0.9775,10,True,True,True
descending_bridge_qNone_vNone_orderNone_seed41,descending_bridge,41,post_input_dynamics,1.0,descending_bridge_qNone_vNone_orderNone,descending_bridge,,,,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,1,0,1,1,0,0,True,1,39,43,39,39,False,0,120,120,E_relapse,not_available,not_available,240,3,237,0.9875,0.7375,120,0.25625,0.0,9e1ee9bfe6d306f81aa770957548311fd0ac39d710e0e7f4aab3e5f64f2b0a58,aa1f91ebcf2d315439e975362eb59fd1aef0062fef3e427e5aa54b0554f9873a,0.0,39,0.02435897435897436,0.024999999999999998,1,77,1,38,0.9750000000000001,0.9775,10,True,True,True
descending_bridge_qNone_vNone_orderNone_seed53,descending_bridge,53,post_input_dynamics,1.0,descending_bridge_qNone_vNone_orderNone,descending_bridge,,,,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,1,0,1,1,0,0,True,1,39,43,39,39,False,0,120,120,E_relapse,not_available,not_available,240,3,237,0.9875,0.7375,120,0.25625,0.0,9e1ee9bfe6d306f81aa770957548311fd0ac39d710e0e7f4aab3e5f64f2b0a58,aa1f91ebcf2d315439e975362eb59fd1aef0062fef3e427e5aa54b0554f9873a,0.0,39,0.02435897435897436,0.024999999999999998,1,77,1,38,0.9750000000000001,0.9775,10,True,True,True
