fixture,seed,policy,tol,step,initial_belief,reference,belief,state_delta,accepted_agreement,all_input_agreement,coverage,reference_error,reference_acceptance,rejected_total,reference_rejected_total
frozen,-1,gated,0.0,80,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,80,80
frozen,-1,accept_all,0.0,80,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,reference_only,0.0,80,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,80,0
frozen,-1,gated,0.01,80,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,80,80
frozen,-1,accept_all,0.01,80,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,reference_only,0.01,80,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,80,0
frozen,-1,gated,0.024,80,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,80,80
frozen,-1,accept_all,0.024,80,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,reference_only,0.024,80,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,80,0
frozen,-1,gated,0.026,80,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,80,80
frozen,-1,accept_all,0.026,80,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,reference_only,0.026,80,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,80,0
frozen,-1,gated,0.05,80,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,80,80
frozen,-1,accept_all,0.05,80,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,reference_only,0.05,80,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,80,0
frozen,-1,gated,0.11,80,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,80,80
frozen,-1,accept_all,0.11,80,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,reference_only,0.11,80,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,80,0
frozen,-1,gated,0.25,80,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,80,80
