fixture,seed,policy,tol,step,initial_belief,reference,belief,state_delta,accepted_agreement,all_input_agreement,coverage,reference_error,reference_acceptance,rejected_total,reference_rejected_total
frozen,-1,gated,0.0,1,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,1,1
frozen,-1,gated,0.0,2,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,2,2
frozen,-1,gated,0.0,3,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,3,3
frozen,-1,gated,0.0,4,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,4,4
frozen,-1,gated,0.0,5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,5,5
frozen,-1,gated,0.0,6,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,6,6
frozen,-1,gated,0.0,7,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,7,7
frozen,-1,gated,0.0,8,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,8,8
frozen,-1,gated,0.0,9,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,9,9
frozen,-1,gated,0.0,10,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,10,10
frozen,-1,gated,0.0,11,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,11,11
frozen,-1,gated,0.0,12,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,12,12
frozen,-1,gated,0.0,13,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,13,13
frozen,-1,gated,0.0,14,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,14,14
frozen,-1,gated,0.0,15,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,15,15
frozen,-1,gated,0.0,16,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,16,16
frozen,-1,gated,0.0,17,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,17,17
frozen,-1,gated,0.0,18,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,18,18
frozen,-1,gated,0.0,19,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,19,19
frozen,-1,gated,0.0,20,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,20,20
frozen,-1,gated,0.0,21,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,21,21
frozen,-1,gated,0.0,22,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,22,22
frozen,-1,gated,0.0,23,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,23,23
frozen,-1,gated,0.0,24,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,24,24
frozen,-1,gated,0.0,25,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,25,25
frozen,-1,gated,0.0,26,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,26,26
frozen,-1,gated,0.0,27,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,27,27
frozen,-1,gated,0.0,28,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,28,28
frozen,-1,gated,0.0,29,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,29,29
frozen,-1,gated,0.0,30,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,30,30
frozen,-1,gated,0.0,31,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,31,31
frozen,-1,gated,0.0,32,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,32,32
frozen,-1,gated,0.0,33,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,33,33
frozen,-1,gated,0.0,34,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,34,34
frozen,-1,gated,0.0,35,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,35,35
frozen,-1,gated,0.0,36,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,36,36
frozen,-1,gated,0.0,37,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,37,37
frozen,-1,gated,0.0,38,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,38,38
frozen,-1,gated,0.0,39,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,39,39
frozen,-1,gated,0.0,40,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,40,40
frozen,-1,gated,0.0,41,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,41,41
frozen,-1,gated,0.0,42,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,42,42
frozen,-1,gated,0.0,43,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,43,43
frozen,-1,gated,0.0,44,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,44,44
frozen,-1,gated,0.0,45,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,45,45
frozen,-1,gated,0.0,46,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,46,46
frozen,-1,gated,0.0,47,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,47,47
frozen,-1,gated,0.0,48,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,48,48
frozen,-1,gated,0.0,49,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,49,49
frozen,-1,gated,0.0,50,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,50,50
frozen,-1,gated,0.0,51,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,51,51
frozen,-1,gated,0.0,52,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,52,52
frozen,-1,gated,0.0,53,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,53,53
frozen,-1,gated,0.0,54,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,54,54
frozen,-1,gated,0.0,55,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,55,55
frozen,-1,gated,0.0,56,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,56,56
frozen,-1,gated,0.0,57,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,57,57
frozen,-1,gated,0.0,58,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,58,58
frozen,-1,gated,0.0,59,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,59,59
frozen,-1,gated,0.0,60,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,60,60
frozen,-1,gated,0.0,61,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,61,61
frozen,-1,gated,0.0,62,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,62,62
frozen,-1,gated,0.0,63,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,63,63
frozen,-1,gated,0.0,64,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,64,64
frozen,-1,gated,0.0,65,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,65,65
frozen,-1,gated,0.0,66,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,66,66
frozen,-1,gated,0.0,67,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,67,67
frozen,-1,gated,0.0,68,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,68,68
frozen,-1,gated,0.0,69,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,69,69
frozen,-1,gated,0.0,70,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,70,70
frozen,-1,gated,0.0,71,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,71,71
frozen,-1,gated,0.0,72,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,72,72
frozen,-1,gated,0.0,73,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,73,73
frozen,-1,gated,0.0,74,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,74,74
frozen,-1,gated,0.0,75,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,75,75
frozen,-1,gated,0.0,76,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,76,76
frozen,-1,gated,0.0,77,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,77,77
frozen,-1,gated,0.0,78,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,78,78
frozen,-1,gated,0.0,79,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,79,79
frozen,-1,gated,0.0,80,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,80,80
frozen,-1,accept_all,0.0,1,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,11,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,12,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,13,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,14,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,17,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,18,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,19,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,23,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,25,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,26,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,27,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,28,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,29,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,31,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,32,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,33,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,34,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,35,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
frozen,-1,accept_all,0.0,36,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
